Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
CRM260206C00270000,CRM260206C00270000,Buy,Filled,1,1,@2.8800000000,2.8800000000,GTC,01/13/2026 09:55:48 EST,01/13/2026 09:58:30 EST
QQQ Vertical,,Buy,Filled,1,1,@1.1100000000,1.1100000000,GTC,01/13/2026 09:46:48 EST,01/13/2026 11:56:29 EST
,QQQ260220P00620000,Buy,Filled,1,1,@9.47,9.47,GTC,01/13/2026 09:46:48 EST,01/13/2026 11:56:29 EST
,QQQ260220P00616000,Sell,Filled,1,1,@8.36,8.36,GTC,01/13/2026 09:46:48 EST,01/13/2026 11:56:29 EST
QQQ Vertical,,Sell,Filled,3,3,@1.0600000000,1.0600000000,GTC,01/12/2026 16:00:21 EST,01/12/2026 16:00:30 EST
,QQQ260227P00616000,Sell,Filled,3,3,@10.52,10.52,GTC,01/12/2026 16:00:21 EST,01/12/2026 16:00:30 EST
,QQQ260227P00612000,Buy,Filled,3,3,@9.46,9.46,GTC,01/12/2026 16:00:21 EST,01/12/2026 16:00:30 EST
QQQ Vertical,,Buy,Filled,1,1,@1.0100000000,1.0100000000,GTC,01/12/2026 15:02:46 EST,01/12/2026 15:03:06 EST
,QQQ260206P00613000,Buy,Filled,1,1,@5.76,5.76,GTC,01/12/2026 15:02:46 EST,01/12/2026 15:03:06 EST
,QQQ260206P00608000,Sell,Filled,1,1,@4.75,4.75,GTC,01/12/2026 15:02:46 EST,01/12/2026 15:03:06 EST
QQQ Vertical,,Buy,Filled,1,1,@1.0100000000,1.0100000000,GTC,01/12/2026 15:01:47 EST,01/12/2026 15:01:59 EST
,QQQ260206P00613000,Buy,Filled,1,1,@5.70,5.70,GTC,01/12/2026 15:01:47 EST,01/12/2026 15:01:59 EST
,QQQ260206P00608000,Sell,Filled,1,1,@4.69,4.69,GTC,01/12/2026 15:01:47 EST,01/12/2026 15:01:59 EST
QQQ Vertical,,Buy,Filled,1,1,@0.9600000000,0.9600000000,GTC,01/09/2026 15:57:32 EST,01/09/2026 15:58:03 EST
,QQQ260206P00609000,Buy,Filled,1,1,@5.64,5.64,GTC,01/09/2026 15:57:32 EST,01/09/2026 15:58:03 EST
,QQQ260206P00604000,Sell,Filled,1,1,@4.68,4.68,GTC,01/09/2026 15:57:32 EST,01/09/2026 15:58:03 EST
QQQ Vertical,,Sell,Filled,1,1,@1.4800000000,1.4800000000,GTC,01/09/2026 15:55:56 EST,01/09/2026 15:56:07 EST
,QQQ260227P00620000,Sell,Filled,1,1,@12.01,12.01,GTC,01/09/2026 15:55:56 EST,01/09/2026 15:56:07 EST
,QQQ260227P00615000,Buy,Filled,1,1,@10.53,10.53,GTC,01/09/2026 15:55:56 EST,01/09/2026 15:56:07 EST
QQQ Vertical,,Buy,Filled,1,1,@1.0000000000,1.0000000000,GTC,01/09/2026 11:15:04 EST,01/09/2026 12:39:30 EST
,QQQ260206P00609000,Buy,Filled,1,1,@5.89,5.89,GTC,01/09/2026 11:15:04 EST,01/09/2026 12:39:30 EST
,QQQ260206P00604000,Sell,Filled,1,1,@4.89,4.89,GTC,01/09/2026 11:15:04 EST,01/09/2026 12:39:30 EST
CRM260206C00270000,CRM260206C00270000,Sell,Filled,1,1,@3.6000000000,3.6000000000,DAY,01/09/2026 10:13:43 EST,01/09/2026 10:13:43 EST
SPY Vertical,,Buy,Filled,1,1,@1.0900000000,1.0900000000,GTC,01/08/2026 15:34:11 EST,01/08/2026 15:34:37 EST
,SPY260213P00679000,Buy,Filled,1,1,@6.72,6.72,GTC,01/08/2026 15:34:11 EST,01/08/2026 15:34:37 EST
,SPY260213P00674000,Sell,Filled,1,1,@5.63,5.63,GTC,01/08/2026 15:34:11 EST,01/08/2026 15:34:37 EST
QQQ Vertical,,Buy,Filled,1,1,@1.0100000000,1.0100000000,GTC,01/08/2026 12:52:12 EST,01/08/2026 12:52:25 EST
,QQQ260213P00601000,Buy,Filled,1,1,@6.94,6.94,GTC,01/08/2026 12:52:12 EST,01/08/2026 12:52:25 EST
,QQQ260213P00596000,Sell,Filled,1,1,@5.93,5.93,GTC,01/08/2026 12:52:12 EST,01/08/2026 12:52:25 EST
QQQ Vertical,,Sell,Filled,1,1,@1.1200000000,1.1200000000,GTC,01/08/2026 12:44:17 EST,01/08/2026 12:45:37 EST
,QQQ260227P00610000,Sell,Filled,1,1,@11.62,11.62,GTC,01/08/2026 12:44:17 EST,01/08/2026 12:45:37 EST
,QQQ260227P00606000,Buy,Filled,1,1,@10.50,10.50,GTC,01/08/2026 12:44:17 EST,01/08/2026 12:45:37 EST
CRM260130C00275000,CRM260130C00275000,Buy,Filled,1,1,@2.8000000000,2.8000000000,GTC,01/08/2026 10:13:55 EST,01/08/2026 10:15:11 EST
TSLA260213C00470000,TSLA260213C00470000,Sell,Filled,1,1,@12.0000000000,12.0000000000,DAY,01/08/2026 09:36:30 EST,01/08/2026 09:36:30 EST
QQQ Vertical,,Sell,Filled,2,2,@1.3100000000,1.3100000000,GTC,01/07/2026 15:53:52 EST,01/07/2026 15:54:10 EST
,QQQ260220P00620000,Sell,Filled,2,2,@12.45,12.45,GTC,01/07/2026 15:53:52 EST,01/07/2026 15:54:10 EST
,QQQ260220P00616000,Buy,Filled,2,2,@11.14,11.14,GTC,01/07/2026 15:53:52 EST,01/07/2026 15:54:10 EST
COIN260130C00270000,COIN260130C00270000,Buy,Filled,1,1,@4.2000000000,4.2000000000,DAY,01/07/2026 10:45:36 EST,01/07/2026 10:46:37 EST
